Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,122,42,35,129,0.777070063694268,0.74390243902439,0.7601246105919,0.765243902439024,0.167330677290837,0.213414634146341
2,119,45,36,128,0.767741935483871,0.725609756097561,0.746081504702194,0.753048780487805,0.182186234817814,0.219512195121951
3,126,38,45,119,0.736842105263158,0.768292682926829,0.752238805970149,0.746951219512195,0.155102040816327,0.274390243902439
4,110,54,31,133,0.780141843971631,0.670731707317073,0.721311475409836,0.740853658536585,0.222222222222222,0.189024390243902
5,113,51,46,118,0.710691823899371,0.689024390243902,0.69969040247678,0.704268292682927,0.220779220779221,0.280487804878049
6,120,44,34,130,0.779220779220779,0.731707317073171,0.754716981132076,0.76219512195122,0.176,0.207317073170732
7,112,52,35,129,0.761904761904762,0.682926829268293,0.720257234726688,0.734756097560976,0.215767634854772,0.213414634146341
8,110,54,24,140,0.82089552238806,0.670731707317073,0.738255033557047,0.76219512195122,0.216,0.146341463414634
9,119,45,41,123,0.74375,0.725609756097561,0.734567901234568,0.73780487804878,0.18595041322314,0.25
10,116,48,32,132,0.783783783783784,0.707317073170732,0.743589743589744,0.75609756097561,0.193548387096774,0.195121951219512
11,116,48,31,133,0.789115646258503,0.707317073170732,0.745980707395498,0.759146341463415,0.192771084337349,0.189024390243902
12,107,57,30,134,0.781021897810219,0.652439024390244,0.710963455149502,0.734756097560976,0.236514522821577,0.182926829268293
13,116,48,43,121,0.729559748427673,0.707317073170732,0.718266253869969,0.722560975609756,0.20253164556962,0.26219512195122
14,113,51,37,127,0.753333333333333,0.689024390243902,0.719745222929936,0.731707317073171,0.2125,0.225609756097561
15,111,53,34,130,0.76551724137931,0.676829268292683,0.718446601941748,0.734756097560976,0.219917012448133,0.207317073170732
16,112,52,30,134,0.788732394366197,0.682926829268293,0.73202614379085,0.75,0.211382113821138,0.182926829268293
17,108,56,26,138,0.805970149253731,0.658536585365854,0.724832214765101,0.75,0.227642276422764,0.158536585365854
18,110,54,27,137,0.802919708029197,0.670731707317073,0.730897009966777,0.753048780487805,0.218623481781377,0.164634146341463
19,115,49,22,142,0.839416058394161,0.701219512195122,0.764119601328904,0.783536585365854,0.190661478599222,0.134146341463415
20,123,41,39,125,0.759259259259259,0.75,0.754601226993865,0.75609756097561,0.165322580645161,0.23780487804878
21,112,52,27,137,0.805755395683453,0.682926829268293,0.739273927392739,0.759146341463415,0.208835341365462,0.164634146341463
22,134,30,112,52,0.544715447154472,0.817073170731707,0.653658536585366,0.567073170731707,0.161290322580645,0.682926829268293
23,125,39,32,132,0.796178343949045,0.76219512195122,0.778816199376947,0.783536585365854,0.151750972762646,0.195121951219512
24,113,51,22,142,0.837037037037037,0.689024390243902,0.755852842809365,0.777439024390244,0.2,0.134146341463415
25,119,45,31,133,0.793333333333333,0.725609756097561,0.75796178343949,0.768292682926829,0.178571428571429,0.189024390243902
26,113,51,38,126,0.748344370860927,0.689024390243902,0.717460317460317,0.728658536585366,0.213389121338912,0.231707317073171
27,114,50,35,129,0.76510067114094,0.695121951219512,0.728434504792332,0.740853658536585,0.205761316872428,0.213414634146341
28,106,58,30,134,0.779411764705882,0.646341463414634,0.706666666666667,0.731707317073171,0.241666666666667,0.182926829268293
29,102,62,35,129,0.744525547445255,0.621951219512195,0.677740863787375,0.704268292682927,0.268398268398268,0.213414634146341
30,118,46,35,129,0.77124183006536,0.719512195121951,0.744479495268139,0.753048780487805,0.186234817813765,0.213414634146341
31,108,56,37,127,0.744827586206897,0.658536585365854,0.699029126213592,0.716463414634146,0.238297872340426,0.225609756097561
32,112,52,32,132,0.777777777777778,0.682926829268293,0.727272727272727,0.74390243902439,0.213114754098361,0.195121951219512
33,117,47,43,121,0.73125,0.713414634146341,0.722222222222222,0.725609756097561,0.197478991596639,0.26219512195122
