Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,125,39,45,119,0.735294117647059,0.76219512195122,0.748502994011976,0.74390243902439,0.159836065573771,0.274390243902439
2,120,44,42,122,0.740740740740741,0.731707317073171,0.736196319018405,0.73780487804878,0.181818181818182,0.25609756097561
3,124,40,42,122,0.746987951807229,0.75609756097561,0.751515151515151,0.75,0.16260162601626,0.25609756097561
4,119,45,32,132,0.788079470198676,0.725609756097561,0.755555555555556,0.765243902439024,0.179282868525896,0.195121951219512
5,112,52,44,120,0.717948717948718,0.682926829268293,0.7,0.707317073170732,0.224137931034483,0.268292682926829
