Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,120,44,25,139,0.827586206896552,0.731707317073171,0.776699029126214,0.789634146341463,0.16988416988417,0.152439024390244
2,133,31,29,135,0.820987654320988,0.810975609756098,0.815950920245399,0.817073170731707,0.115671641791045,0.176829268292683
3,113,51,34,130,0.768707482993197,0.689024390243902,0.726688102893891,0.740853658536585,0.209876543209877,0.207317073170732
4,122,42,26,138,0.824324324324324,0.74390243902439,0.782051282051282,0.792682926829268,0.161538461538462,0.158536585365854
5,121,43,36,128,0.770700636942675,0.73780487804878,0.753894080996885,0.759146341463415,0.172690763052209,0.219512195121951
