Case, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,113,51,49,115,0.697530864197531,0.689024390243902,0.693251533742331,0.695121951219512,0.223684210526316,0.298780487804878
1,118,46,38,126,0.756410256410256,0.719512195121951,0.7375,0.74390243902439,0.188524590163934,0.231707317073171
1,111,53,32,132,0.776223776223776,0.676829268292683,0.723127035830619,0.740853658536585,0.218106995884774,0.195121951219512
1,123,41,24,140,0.836734693877551,0.75,0.790996784565916,0.801829268292683,0.155893536121673,0.146341463414634
1,126,38,44,120,0.741176470588235,0.768292682926829,0.754491017964072,0.75,0.154471544715447,0.268292682926829
1,119,45,27,137,0.815068493150685,0.725609756097561,0.767741935483871,0.780487804878049,0.17578125,0.164634146341463
1,118,46,41,123,0.742138364779874,0.719512195121951,0.730650154798762,0.734756097560976,0.190871369294606,0.25
1,111,53,39,125,0.74,0.676829268292683,0.707006369426752,0.719512195121951,0.224576271186441,0.23780487804878
1,117,47,26,138,0.818181818181818,0.713414634146341,0.762214983713355,0.777439024390244,0.184313725490196,0.158536585365854
1,119,45,37,127,0.762820512820513,0.725609756097561,0.74375,0.75,0.182926829268293,0.225609756097561
1,120,44,29,135,0.805369127516778,0.731707317073171,0.766773162939297,0.777439024390244,0.172549019607843,0.176829268292683
1,119,45,32,132,0.788079470198676,0.725609756097561,0.755555555555556,0.765243902439024,0.179282868525896,0.195121951219512
1,116,48,33,131,0.778523489932886,0.707317073170732,0.741214057507987,0.753048780487805,0.194331983805668,0.201219512195122
1,118,46,26,138,0.819444444444444,0.719512195121951,0.766233766233766,0.780487804878049,0.1796875,0.158536585365854
1,106,58,46,118,0.697368421052632,0.646341463414634,0.670886075949367,0.682926829268293,0.258928571428571,0.280487804878049
1,121,43,33,131,0.785714285714286,0.73780487804878,0.761006289308176,0.768292682926829,0.170634920634921,0.201219512195122
1,107,57,25,139,0.810606060606061,0.652439024390244,0.722972972972973,0.75,0.231707317073171,0.152439024390244
1,113,51,35,129,0.763513513513513,0.689024390243902,0.724358974358974,0.73780487804878,0.210743801652893,0.213414634146341
1,114,50,29,135,0.797202797202797,0.695121951219512,0.742671009771987,0.759146341463415,0.200803212851406,0.176829268292683
1,104,60,19,145,0.845528455284553,0.634146341463415,0.724738675958188,0.759146341463415,0.240963855421687,0.115853658536585
1,164,0,164,0,0.5,1,0.666666666666667,0.5,0,1
1,119,45,42,122,0.739130434782609,0.725609756097561,0.732307692307692,0.734756097560976,0.186721991701245,0.25609756097561
1,121,43,33,131,0.785714285714286,0.73780487804878,0.761006289308176,0.768292682926829,0.170634920634921,0.201219512195122
1,122,42,42,122,0.74390243902439,0.74390243902439,0.74390243902439,0.74390243902439,0.172131147540984,0.25609756097561
1,113,51,34,130,0.768707482993197,0.689024390243902,0.726688102893891,0.740853658536585,0.209876543209877,0.207317073170732
1,117,47,36,128,0.764705882352941,0.713414634146341,0.738170347003155,0.746951219512195,0.191836734693878,0.219512195121951
1,122,42,41,123,0.748466257668712,0.74390243902439,0.746177370030581,0.746951219512195,0.171428571428571,0.25
1,120,44,31,133,0.794701986754967,0.731707317073171,0.761904761904762,0.771341463414634,0.173913043478261,0.189024390243902
1,123,41,45,119,0.732142857142857,0.75,0.740963855421687,0.73780487804878,0.169421487603306,0.274390243902439
1,121,43,32,132,0.790849673202614,0.73780487804878,0.763406940063092,0.771341463414634,0.1699604743083,0.195121951219512
1,103,61,35,129,0.746376811594203,0.628048780487805,0.682119205298013,0.707317073170732,0.262931034482759,0.213414634146341
1,117,47,24,140,0.829787234042553,0.713414634146341,0.767213114754098,0.783536585365854,0.182879377431907,0.146341463414634
1,109,55,37,127,0.746575342465753,0.664634146341463,0.703225806451613,0.719512195121951,0.233050847457627,0.225609756097561
1,120,44,34,130,0.779220779220779,0.731707317073171,0.754716981132076,0.76219512195122,0.176,0.207317073170732
1,124,40,35,129,0.779874213836478,0.75609756097561,0.767801857585139,0.771341463414634,0.158102766798419,0.213414634146341
1,102,62,28,136,0.784615384615385,0.621951219512195,0.693877551020408,0.725609756097561,0.260504201680672,0.170731707317073
1,122,42,41,123,0.748466257668712,0.74390243902439,0.746177370030581,0.746951219512195,0.171428571428571,0.25
1,119,45,27,137,0.815068493150685,0.725609756097561,0.767741935483871,0.780487804878049,0.17578125,0.164634146341463
1,119,45,36,128,0.767741935483871,0.725609756097561,0.746081504702194,0.753048780487805,0.182186234817814,0.219512195121951
1,109,55,31,133,0.778571428571429,0.664634146341463,0.717105263157895,0.73780487804878,0.227272727272727,0.189024390243902
1,110,54,22,142,0.833333333333333,0.670731707317073,0.743243243243243,0.768292682926829,0.214285714285714,0.134146341463415
1,126,38,37,127,0.773006134969325,0.768292682926829,0.770642201834862,0.771341463414634,0.150197628458498,0.225609756097561
1,119,45,42,122,0.739130434782609,0.725609756097561,0.732307692307692,0.734756097560976,0.186721991701245,0.25609756097561
1,120,44,27,137,0.816326530612245,0.731707317073171,0.771704180064309,0.783536585365854,0.171206225680934,0.164634146341463
1,121,43,31,133,0.796052631578947,0.73780487804878,0.765822784810127,0.774390243902439,0.169291338582677,0.189024390243902
1,111,53,27,137,0.804347826086957,0.676829268292683,0.735099337748344,0.75609756097561,0.213709677419355,0.164634146341463
1,119,45,22,142,0.843971631205674,0.725609756097561,0.780327868852459,0.795731707317073,0.172413793103448,0.134146341463415
1,121,43,26,138,0.82312925170068,0.73780487804878,0.778135048231511,0.789634146341463,0.166023166023166,0.158536585365854
