"","Method","Accuracy"
"185","Decision Tree",0.771341463414634
"186","Decision Tree",0.667682926829268
"187","Decision Tree",0.771341463414634
"188","Decision Tree",0.725609756097561
"189","Decision Tree",0.725609756097561
"190","Decision Tree",0.731707317073171
"191","Decision Tree",0.765243902439024
"192","Decision Tree",0.75609756097561
"193","Decision Tree",0.734756097560976
"194","Decision Tree",0.728658536585366
"195","Decision Tree",0.75
"196","Decision Tree",0.765243902439024
"197","Decision Tree",0.701219512195122
"198","Decision Tree",0.719512195121951
"199","Decision Tree",0.75609756097561
"200","Decision Tree",0.746951219512195
"201","Random Forest",0.789634146341463
"202","Random Forest",0.75
"203","Random Forest",0.759146341463415
"204","Random Forest",0.798780487804878
"205","Random Forest",0.817073170731707
"206","Random Forest",0.759146341463415
"207","Random Forest",0.798780487804878
"208","Random Forest",0.740853658536585
"209","Random Forest",0.777439024390244
"210","Random Forest",0.75609756097561
"211","Random Forest",0.734756097560976
"212","Random Forest",0.719512195121951
"213","Random Forest",0.774390243902439
"214","Random Forest",0.768292682926829
"215","Random Forest",0.777439024390244
"216","Random Forest",0.75609756097561
"217","Random Forest",0.777439024390244
"218","Random Forest",0.753048780487805
"219","Random Forest",0.759146341463415
"220","Random Forest",0.759146341463415
"221","Random Forest",0.75609756097561
"222","Random Forest",0.76219512195122
"223","Random Forest",0.771341463414634
"224","Random Forest",0.75609756097561
"225","Random Forest",0.76219512195122
"226","Random Forest",0.740853658536585
"227","Random Forest",0.75609756097561
"228","Random Forest",0.75
"229","Random Forest",0.771341463414634
"230","Random Forest",0.716463414634146
"231","Random Forest",0.713414634146341
"232","Random Forest",0.789634146341463
"233","Random Forest",0.786585365853659
"234","Random Forest",0.746951219512195
"235","Random Forest",0.798780487804878
"236","Random Forest",0.746951219512195
"237","Random Forest",0.753048780487805
"238","Random Forest",0.74390243902439
"239","Random Forest",0.759146341463415
"240","Random Forest",0.771341463414634
"241","Random Forest",0.728658536585366
"242","Random Forest",0.75
"243","Random Forest",0.771341463414634
"244","Random Forest",0.740853658536585
"245","Random Forest",0.765243902439024
"246","Random Forest",0.753048780487805
"247","Random Forest",0.746951219512195
"248","Random Forest",0.783536585365854
"249","Random Forest",0.76219512195122
"250","Random Forest",0.734756097560976
"251","Random Forest",0.75609756097561
"252","Random Forest",0.75609756097561
"253","Random Forest",0.768292682926829
"254","Random Forest",0.777439024390244
"255","Random Forest",0.768292682926829
"256","Random Forest",0.777439024390244
"257","Random Forest",0.795731707317073
"258","Random Forest",0.780487804878049
"259","Random Forest",0.734756097560976
"260","Random Forest",0.759146341463415
"261","Random Forest",0.74390243902439
"262","Random Forest",0.777439024390244
"263","Random Forest",0.722560975609756
"264","Random Forest",0.74390243902439
"265","Random Forest",0.75
"266","Random Forest",0.789634146341463
"267","Random Forest",0.765243902439024
"268","Random Forest",0.746951219512195
"269","Random Forest",0.698170731707317
"270","Random Forest",0.807926829268293
"271","Random Forest",0.740853658536585
"272","Random Forest",0.789634146341463
"273","Random Forest",0.722560975609756
"274","Random Forest",0.774390243902439
"275","Random Forest",0.731707317073171
"276","Random Forest",0.73780487804878
"277","Random Forest",0.753048780487805
"278","Random Forest",0.753048780487805
"279","Random Forest",0.795731707317073
"280","Random Forest",0.722560975609756
"281","Random Forest",0.76219512195122
"282","Random Forest",0.689024390243902
"283","Random Forest",0.746951219512195
"284","Random Forest",0.695121951219512
"285","Random Forest",0.74390243902439
"286","Random Forest",0.774390243902439
"287","Random Forest",0.759146341463415
"288","Random Forest",0.759146341463415
"289","Random Forest",0.731707317073171
"290","Random Forest",0.804878048780488
"291","Random Forest",0.73780487804878
"292","Random Forest",0.698170731707317
"293","Random Forest",0.76219512195122
"294","Random Forest",0.719512195121951
"295","Random Forest",0.731707317073171
"296","Random Forest",0.740853658536585
"297","Random Forest",0.780487804878049
"298","Random Forest",0.722560975609756
"299","Random Forest",0.725609756097561
"300","Random Forest",0.74390243902439
