Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,115,49,44,120,0.723270440251572,0.701219512195122,0.712074303405573,0.716463414634146,0.208510638297872,0.268292682926829
2,100,64,27,137,0.78740157480315,0.609756097560976,0.687285223367698,0.722560975609756,0.270042194092827,0.164634146341463
3,114,50,39,125,0.745098039215686,0.695121951219512,0.719242902208202,0.728658536585366,0.209205020920502,0.23780487804878
4,119,45,36,128,0.767741935483871,0.725609756097561,0.746081504702194,0.753048780487805,0.182186234817814,0.219512195121951
5,117,47,35,129,0.769736842105263,0.713414634146341,0.740506329113924,0.75,0.191056910569106,0.213414634146341
6,104,60,27,137,0.793893129770992,0.634146341463415,0.705084745762712,0.734756097560976,0.24896265560166,0.164634146341463
7,108,56,23,141,0.824427480916031,0.658536585365854,0.732203389830508,0.759146341463415,0.224899598393574,0.140243902439024
8,111,53,35,129,0.76027397260274,0.676829268292683,0.716129032258065,0.731707317073171,0.220833333333333,0.213414634146341
9,101,63,25,139,0.801587301587302,0.615853658536585,0.696551724137931,0.731707317073171,0.2625,0.152439024390244
10,125,39,28,136,0.816993464052288,0.76219512195122,0.788643533123028,0.795731707317073,0.149425287356322,0.170731707317073
11,131,33,34,130,0.793939393939394,0.798780487804878,0.796352583586626,0.795731707317073,0.126436781609195,0.207317073170732
12,118,46,32,132,0.786666666666667,0.719512195121951,0.751592356687898,0.76219512195122,0.184,0.195121951219512
13,127,37,35,129,0.783950617283951,0.774390243902439,0.779141104294479,0.780487804878049,0.14453125,0.213414634146341
14,112,52,36,128,0.756756756756757,0.682926829268293,0.717948717948718,0.731707317073171,0.216666666666667,0.219512195121951
15,113,51,38,126,0.748344370860927,0.689024390243902,0.717460317460317,0.728658536585366,0.213389121338912,0.231707317073171
16,105,59,24,140,0.813953488372093,0.640243902439024,0.716723549488055,0.746951219512195,0.240816326530612,0.146341463414634
17,106,58,28,136,0.791044776119403,0.646341463414634,0.711409395973154,0.73780487804878,0.239669421487603,0.170731707317073
18,121,43,34,130,0.780645161290323,0.73780487804878,0.758620689655172,0.765243902439024,0.171314741035857,0.207317073170732
19,129,35,35,129,0.786585365853659,0.786585365853659,0.786585365853659,0.786585365853659,0.135658914728682,0.213414634146341
20,99,65,29,135,0.7734375,0.603658536585366,0.678082191780822,0.713414634146341,0.277777777777778,0.176829268292683
21,117,47,28,136,0.806896551724138,0.713414634146341,0.757281553398058,0.771341463414634,0.185770750988142,0.170731707317073
22,128,36,28,136,0.82051282051282,0.780487804878049,0.8,0.804878048780488,0.136363636363636,0.170731707317073
23,116,48,41,123,0.738853503184713,0.707317073170732,0.722741433021807,0.728658536585366,0.200836820083682,0.25
24,96,68,25,139,0.793388429752066,0.585365853658537,0.673684210526316,0.716463414634146,0.28936170212766,0.152439024390244
25,98,66,20,144,0.830508474576271,0.597560975609756,0.695035460992908,0.73780487804878,0.272727272727273,0.121951219512195
26,107,57,28,136,0.792592592592593,0.652439024390244,0.71571906354515,0.740853658536585,0.234567901234568,0.170731707317073
27,105,59,38,126,0.734265734265734,0.640243902439024,0.684039087947883,0.704268292682927,0.255411255411255,0.231707317073171
28,110,54,26,138,0.808823529411765,0.670731707317073,0.733333333333333,0.75609756097561,0.217741935483871,0.158536585365854
29,115,49,32,132,0.782312925170068,0.701219512195122,0.739549839228296,0.753048780487805,0.198380566801619,0.195121951219512
30,109,55,31,133,0.778571428571429,0.664634146341463,0.717105263157895,0.73780487804878,0.227272727272727,0.189024390243902
31,117,47,45,119,0.722222222222222,0.713414634146341,0.717791411042945,0.719512195121951,0.199152542372881,0.274390243902439
32,111,53,24,140,0.822222222222222,0.676829268292683,0.74247491638796,0.765243902439024,0.211155378486056,0.146341463414634
33,101,63,28,136,0.782945736434108,0.615853658536585,0.689419795221843,0.722560975609756,0.265822784810127,0.170731707317073
34,118,46,36,128,0.766233766233766,0.719512195121951,0.742138364779874,0.75,0.186991869918699,0.219512195121951
35,121,43,32,132,0.790849673202614,0.73780487804878,0.763406940063092,0.771341463414634,0.1699604743083,0.195121951219512
36,121,43,49,115,0.711764705882353,0.73780487804878,0.724550898203593,0.719512195121951,0.182203389830508,0.298780487804878
37,138,26,51,113,0.73015873015873,0.841463414634146,0.781869688385269,0.765243902439024,0.103585657370518,0.310975609756098
38,127,37,43,121,0.747058823529412,0.774390243902439,0.760479041916168,0.75609756097561,0.149193548387097,0.26219512195122
39,125,39,47,117,0.726744186046512,0.76219512195122,0.744047619047619,0.73780487804878,0.161157024793388,0.286585365853659
40,125,39,28,136,0.816993464052288,0.76219512195122,0.788643533123028,0.795731707317073,0.149425287356322,0.170731707317073
41,100,64,25,139,0.8,0.609756097560976,0.692041522491349,0.728658536585366,0.267782426778243,0.152439024390244
42,126,38,44,120,0.741176470588235,0.768292682926829,0.754491017964072,0.75,0.154471544715447,0.268292682926829
43,124,40,42,122,0.746987951807229,0.75609756097561,0.751515151515151,0.75,0.16260162601626,0.25609756097561
44,112,52,30,134,0.788732394366197,0.682926829268293,0.73202614379085,0.75,0.211382113821138,0.182926829268293
45,101,63,19,145,0.841666666666667,0.615853658536585,0.711267605633803,0.75,0.25609756097561,0.115853658536585
46,104,60,33,131,0.759124087591241,0.634146341463415,0.691029900332226,0.716463414634146,0.25531914893617,0.201219512195122
47,119,45,34,130,0.777777777777778,0.725609756097561,0.750788643533123,0.759146341463415,0.180722891566265,0.207317073170732
48,122,42,32,132,0.792207792207792,0.74390243902439,0.767295597484277,0.774390243902439,0.165354330708661,0.195121951219512
49,110,54,36,128,0.753424657534247,0.670731707317073,0.709677419354839,0.725609756097561,0.226890756302521,0.219512195121951
50,117,47,53,111,0.688235294117647,0.713414634146341,0.70059880239521,0.695121951219512,0.206140350877193,0.323170731707317
51,120,44,42,122,0.740740740740741,0.731707317073171,0.736196319018405,0.73780487804878,0.181818181818182,0.25609756097561
52,102,62,21,143,0.829268292682927,0.621951219512195,0.710801393728223,0.746951219512195,0.253061224489796,0.128048780487805
53,108,56,30,134,0.782608695652174,0.658536585365854,0.71523178807947,0.73780487804878,0.231404958677686,0.182926829268293
54,109,55,27,137,0.801470588235294,0.664634146341463,0.726666666666667,0.75,0.223577235772358,0.164634146341463
55,124,40,41,123,0.751515151515151,0.75609756097561,0.753799392097264,0.753048780487805,0.161943319838057,0.25
56,138,26,40,124,0.775280898876405,0.841463414634146,0.807017543859649,0.798780487804878,0.099236641221374,0.24390243902439
57,128,36,52,112,0.711111111111111,0.780487804878049,0.744186046511628,0.731707317073171,0.15,0.317073170731707
58,123,41,36,128,0.773584905660377,0.75,0.761609907120743,0.765243902439024,0.163346613545817,0.219512195121951
59,99,65,33,131,0.75,0.603658536585366,0.668918918918919,0.701219512195122,0.282608695652174,0.201219512195122
60,107,57,41,123,0.722972972972973,0.652439024390244,0.685897435897436,0.701219512195122,0.247826086956522,0.25
61,113,51,38,126,0.748344370860927,0.689024390243902,0.717460317460317,0.728658536585366,0.213389121338912,0.231707317073171
62,127,37,35,129,0.783950617283951,0.774390243902439,0.779141104294479,0.780487804878049,0.14453125,0.213414634146341
63,132,32,55,109,0.705882352941177,0.804878048780488,0.752136752136752,0.734756097560976,0.132780082987552,0.335365853658537
64,128,36,67,97,0.656410256410256,0.780487804878049,0.713091922005571,0.685975609756098,0.16,0.408536585365854
65,131,33,47,117,0.735955056179775,0.798780487804878,0.766081871345029,0.75609756097561,0.133064516129032,0.286585365853659
66,107,57,19,145,0.849206349206349,0.652439024390244,0.737931034482759,0.768292682926829,0.226190476190476,0.115853658536585
67,122,42,44,120,0.734939759036145,0.74390243902439,0.739393939393939,0.73780487804878,0.173553719008264,0.268292682926829
68,124,40,29,135,0.810457516339869,0.75609756097561,0.782334384858044,0.789634146341463,0.154440154440154,0.176829268292683
69,108,56,24,140,0.818181818181818,0.658536585365854,0.72972972972973,0.75609756097561,0.225806451612903,0.146341463414634
70,123,41,45,119,0.732142857142857,0.75,0.740963855421687,0.73780487804878,0.169421487603306,0.274390243902439
71,130,34,39,125,0.769230769230769,0.792682926829268,0.780780780780781,0.777439024390244,0.133333333333333,0.23780487804878
72,115,49,33,131,0.777027027027027,0.701219512195122,0.737179487179487,0.75,0.199186991869919,0.201219512195122
73,136,28,41,123,0.768361581920904,0.829268292682927,0.797653958944281,0.789634146341463,0.108108108108108,0.25
74,127,37,42,122,0.751479289940828,0.774390243902439,0.762762762762763,0.759146341463415,0.14859437751004,0.25609756097561
75,96,68,25,139,0.793388429752066,0.585365853658537,0.673684210526316,0.716463414634146,0.28936170212766,0.152439024390244
76,111,53,29,135,0.792857142857143,0.676829268292683,0.730263157894737,0.75,0.215447154471545,0.176829268292683
77,115,49,42,122,0.732484076433121,0.701219512195122,0.716510903426791,0.722560975609756,0.206751054852321,0.25609756097561
78,132,32,38,126,0.776470588235294,0.804878048780488,0.790419161676647,0.786585365853659,0.124031007751938,0.231707317073171
79,119,45,29,135,0.804054054054054,0.725609756097561,0.762820512820513,0.774390243902439,0.177165354330709,0.176829268292683
80,96,68,16,148,0.857142857142857,0.585365853658537,0.695652173913043,0.74390243902439,0.278688524590164,0.0975609756097561
81,121,43,45,119,0.728915662650602,0.73780487804878,0.733333333333333,0.731707317073171,0.179166666666667,0.274390243902439
