Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,117,47,40,124,0.745222929936306,0.713414634146341,0.728971962616822,0.734756097560976,0.195020746887967,0.24390243902439
2,130,34,40,124,0.764705882352941,0.792682926829268,0.778443113772455,0.774390243902439,0.133858267716535,0.24390243902439
3,119,45,32,132,0.788079470198676,0.725609756097561,0.755555555555556,0.765243902439024,0.179282868525896,0.195121951219512
4,129,35,51,113,0.716666666666667,0.786585365853659,0.75,0.73780487804878,0.144628099173554,0.310975609756098
5,115,49,41,123,0.737179487179487,0.701219512195122,0.71875,0.725609756097561,0.205882352941176,0.25
