Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,122,42,45,119,0.730538922155689,0.74390243902439,0.737160120845921,0.734756097560976,0.174273858921162,0.274390243902439
2,106,58,25,139,0.809160305343511,0.646341463414634,0.71864406779661,0.746951219512195,0.236734693877551,0.152439024390244
3,112,52,33,131,0.772413793103448,0.682926829268293,0.724919093851133,0.740853658536585,0.213991769547325,0.201219512195122
4,103,61,19,145,0.844262295081967,0.628048780487805,0.72027972027972,0.75609756097561,0.245967741935484,0.115853658536585
5,111,53,20,144,0.847328244274809,0.676829268292683,0.752542372881356,0.777439024390244,0.207843137254902,0.121951219512195
6,113,51,36,128,0.758389261744966,0.689024390243902,0.722044728434505,0.734756097560976,0.211618257261411,0.219512195121951
7,97,67,26,138,0.788617886178862,0.591463414634146,0.67595818815331,0.716463414634146,0.285106382978723,0.158536585365854
8,115,49,29,135,0.798611111111111,0.701219512195122,0.746753246753247,0.76219512195122,0.196,0.176829268292683
9,118,46,21,143,0.848920863309353,0.719512195121951,0.778877887788779,0.795731707317073,0.176245210727969,0.128048780487805
10,112,52,37,127,0.751677852348993,0.682926829268293,0.715654952076677,0.728658536585366,0.217573221757322,0.225609756097561
11,124,40,33,131,0.789808917197452,0.75609756097561,0.772585669781931,0.777439024390244,0.156862745098039,0.201219512195122
12,100,64,17,147,0.854700854700855,0.609756097560976,0.711743772241993,0.753048780487805,0.259109311740891,0.103658536585366
13,102,62,27,137,0.790697674418605,0.621951219512195,0.696245733788396,0.728658536585366,0.259414225941423,0.164634146341463
14,113,51,25,139,0.818840579710145,0.689024390243902,0.748344370860927,0.768292682926829,0.202380952380952,0.152439024390244
15,114,50,27,137,0.808510638297872,0.695121951219512,0.747540983606557,0.765243902439024,0.199203187250996,0.164634146341463
16,114,50,23,141,0.832116788321168,0.695121951219512,0.757475083056478,0.777439024390244,0.196078431372549,0.140243902439024
17,107,57,30,134,0.781021897810219,0.652439024390244,0.710963455149502,0.734756097560976,0.236514522821577,0.182926829268293
18,105,59,26,138,0.801526717557252,0.640243902439024,0.711864406779661,0.740853658536585,0.242798353909465,0.158536585365854
19,111,53,23,141,0.828358208955224,0.676829268292683,0.74496644295302,0.768292682926829,0.21031746031746,0.140243902439024
20,108,56,28,136,0.794117647058823,0.658536585365854,0.72,0.74390243902439,0.229508196721311,0.170731707317073
21,93,71,16,148,0.853211009174312,0.567073170731707,0.681318681318681,0.734756097560976,0.294605809128631,0.0975609756097561
22,100,64,35,129,0.740740740740741,0.609756097560976,0.668896321070234,0.698170731707317,0.279475982532751,0.213414634146341
23,112,52,27,137,0.805755395683453,0.682926829268293,0.739273927392739,0.759146341463415,0.208835341365462,0.164634146341463
24,111,53,22,142,0.834586466165414,0.676829268292683,0.747474747474748,0.771341463414634,0.209486166007905,0.134146341463415
25,108,56,33,131,0.765957446808511,0.658536585365854,0.708196721311475,0.728658536585366,0.234309623430962,0.201219512195122
26,111,53,23,141,0.828358208955224,0.676829268292683,0.74496644295302,0.768292682926829,0.21031746031746,0.140243902439024
27,111,53,36,128,0.755102040816326,0.676829268292683,0.713826366559486,0.728658536585366,0.221757322175732,0.219512195121951
28,115,49,33,131,0.777027027027027,0.701219512195122,0.737179487179487,0.75,0.199186991869919,0.201219512195122
29,105,59,28,136,0.789473684210526,0.640243902439024,0.707070707070707,0.734756097560976,0.244813278008299,0.170731707317073
30,109,55,20,144,0.844961240310077,0.664634146341463,0.744027303754266,0.771341463414634,0.217391304347826,0.121951219512195
31,110,54,38,126,0.743243243243243,0.670731707317073,0.705128205128205,0.719512195121951,0.228813559322034,0.231707317073171
32,112,52,39,125,0.741721854304636,0.682926829268293,0.711111111111111,0.722560975609756,0.219409282700422,0.23780487804878
33,121,43,20,144,0.858156028368794,0.73780487804878,0.79344262295082,0.807926829268293,0.162264150943396,0.121951219512195
34,115,49,41,123,0.737179487179487,0.701219512195122,0.71875,0.725609756097561,0.205882352941176,0.25
35,109,55,28,136,0.795620437956204,0.664634146341463,0.724252491694352,0.746951219512195,0.224489795918367,0.170731707317073
36,117,47,26,138,0.818181818181818,0.713414634146341,0.762214983713355,0.777439024390244,0.184313725490196,0.158536585365854
37,105,59,24,140,0.813953488372093,0.640243902439024,0.716723549488055,0.746951219512195,0.240816326530612,0.146341463414634
38,111,53,22,142,0.834586466165414,0.676829268292683,0.747474747474748,0.771341463414634,0.209486166007905,0.134146341463415
39,127,37,40,124,0.760479041916168,0.774390243902439,0.767371601208459,0.765243902439024,0.147410358565737,0.24390243902439
40,110,54,30,134,0.785714285714286,0.670731707317073,0.723684210526316,0.74390243902439,0.221311475409836,0.182926829268293
41,115,49,39,125,0.746753246753247,0.701219512195122,0.723270440251572,0.731707317073171,0.204166666666667,0.23780487804878
42,119,45,36,128,0.767741935483871,0.725609756097561,0.746081504702194,0.753048780487805,0.182186234817814,0.219512195121951
43,123,41,28,136,0.814569536423841,0.75,0.780952380952381,0.789634146341463,0.158301158301158,0.170731707317073
44,104,60,29,135,0.781954887218045,0.634146341463415,0.7003367003367,0.728658536585366,0.251046025104602,0.176829268292683
45,109,55,33,131,0.767605633802817,0.664634146341463,0.712418300653595,0.731707317073171,0.229166666666667,0.201219512195122
46,120,44,41,123,0.745341614906832,0.731707317073171,0.738461538461539,0.740853658536585,0.181069958847737,0.25
47,108,56,29,135,0.788321167883212,0.658536585365854,0.717607973421927,0.740853658536585,0.230452674897119,0.176829268292683
