"","Method","Accuracy"
"1","Neural Network",0.74390243902439
"2","Neural Network",0.74390243902439
"3","Neural Network",0.76219512195122
"4","Neural Network",0.73780487804878
"5","Neural Network",0.731707317073171
"6","Neural Network",0.746951219512195
"7","Neural Network",0.75
"8","Neural Network",0.759146341463415
"9","Neural Network",0.73780487804878
"10","Neural Network",0.76219512195122
"11","Neural Network",0.722560975609756
"12","Neural Network",0.753048780487805
"13","Neural Network",0.777439024390244
"14","Neural Network",0.774390243902439
"15","Neural Network",0.774390243902439
"16","Neural Network",0.801829268292683
"17","Neural Network",0.731707317073171
"18","Neural Network",0.74390243902439
"19","Neural Network",0.734756097560976
"20","Neural Network",0.768292682926829
"21","Neural Network",0.768292682926829
"22","Neural Network",0.76219512195122
"23","Neural Network",0.710365853658537
"24","Neural Network",0.780487804878049
"25","Neural Network",0.734756097560976
"26","Neural Network",0.798780487804878
"27","Neural Network",0.768292682926829
"28","Neural Network",0.771341463414634
"29","Neural Network",0.710365853658537
"30","Neural Network",0.810975609756098
"31","Neural Network",0.740853658536585
"32","Neural Network",0.786585365853659
"33","Neural Network",0.76219512195122
"34","Neural Network",0.76219512195122
"35","Neural Network",0.734756097560976
"36","Neural Network",0.746951219512195
"37","Neural Network",0.765243902439024
"38","Neural Network",0.75
"39","Neural Network",0.740853658536585
"40","Neural Network",0.759146341463415
"41","Neural Network",0.753048780487805
"42","Neural Network",0.759146341463415
"43","Neural Network",0.73780487804878
"44","Neural Network",0.710365853658537
"45","Neural Network",0.783536585365854
"46","Neural Network",0.75
"47","Neural Network",0.704268292682927
"48","Neural Network",0.786585365853659
"49","Neural Network",0.722560975609756
"50","Neural Network",0.771341463414634
"51","Neural Network",0.76219512195122
"52","Neural Network",0.728658536585366
"53","Neural Network",0.76219512195122
"54","Neural Network",0.716463414634146
"55","Neural Network",0.75609756097561
"56","Neural Network",0.765243902439024
"57","Neural Network",0.740853658536585
"58","Neural Network",0.746951219512195
"59","Neural Network",0.713414634146341
"60","Neural Network",0.75
"61","Neural Network",0.74390243902439
"62","Neural Network",0.707317073170732
"63","Neural Network",0.771341463414634
"64","Neural Network",0.719512195121951
"65","Neural Network",0.759146341463415
"66","Neural Network",0.734756097560976
"67","Neural Network",0.76219512195122
"68","Neural Network",0.765243902439024
"69","Neural Network",0.792682926829268
"70","Neural Network",0.777439024390244
"71","Neural Network",0.759146341463415
"72","Neural Network",0.774390243902439
"73","Neural Network",0.728658536585366
"74","Neural Network",0.75
"75","Neural Network",0.75
"76","Neural Network",0.765243902439024
"77","Neural Network",0.719512195121951
"78","Neural Network",0.75
"79","Neural Network",0.768292682926829
"80","Neural Network",0.746951219512195
"81","Neural Network",0.734756097560976
"82","Neural Network",0.759146341463415
"83","Neural Network",0.75
"84","Neural Network",0.73780487804878
"85","Neural Network",0.771341463414634
"86","Neural Network",0.801829268292683
"87","Neural Network",0.774390243902439
"88","Neural Network",0.746951219512195
"89","Neural Network",0.753048780487805
"90","Neural Network",0.774390243902439
"91","Neural Network",0.780487804878049
"92","Neural Network",0.783536585365854
"93","Neural Network",0.75
"94","Neural Network",0.759146341463415
"95","Neural Network",0.75609756097561
"96","Neural Network",0.75609756097561
"97","Neural Network",0.774390243902439
"98","Neural Network",0.75
"99","Neural Network",0.774390243902439
"100","Neural Network",0.777439024390244
"101","Decision Tree",0.716463414634146
"102","Decision Tree",0.722560975609756
"103","Decision Tree",0.728658536585366
"104","Decision Tree",0.753048780487805
"105","Decision Tree",0.75
"106","Decision Tree",0.734756097560976
"107","Decision Tree",0.759146341463415
"108","Decision Tree",0.731707317073171
"109","Decision Tree",0.731707317073171
"110","Decision Tree",0.795731707317073
"111","Decision Tree",0.795731707317073
"112","Decision Tree",0.76219512195122
"113","Decision Tree",0.780487804878049
"114","Decision Tree",0.731707317073171
"115","Decision Tree",0.728658536585366
"116","Decision Tree",0.746951219512195
"117","Decision Tree",0.73780487804878
"118","Decision Tree",0.765243902439024
"119","Decision Tree",0.786585365853659
"120","Decision Tree",0.713414634146341
"121","Decision Tree",0.771341463414634
"122","Decision Tree",0.804878048780488
"123","Decision Tree",0.728658536585366
"124","Decision Tree",0.716463414634146
"125","Decision Tree",0.73780487804878
"126","Decision Tree",0.740853658536585
"127","Decision Tree",0.704268292682927
"128","Decision Tree",0.75609756097561
"129","Decision Tree",0.753048780487805
"130","Decision Tree",0.73780487804878
"131","Decision Tree",0.719512195121951
"132","Decision Tree",0.765243902439024
"133","Decision Tree",0.722560975609756
"134","Decision Tree",0.75
"135","Decision Tree",0.771341463414634
"136","Decision Tree",0.719512195121951
"137","Decision Tree",0.765243902439024
"138","Decision Tree",0.75609756097561
"139","Decision Tree",0.73780487804878
"140","Decision Tree",0.795731707317073
"141","Decision Tree",0.728658536585366
"142","Decision Tree",0.75
"143","Decision Tree",0.75
"144","Decision Tree",0.75
"145","Decision Tree",0.75
"146","Decision Tree",0.716463414634146
"147","Decision Tree",0.759146341463415
"148","Decision Tree",0.774390243902439
"149","Decision Tree",0.725609756097561
"150","Decision Tree",0.695121951219512
"151","Decision Tree",0.73780487804878
"152","Decision Tree",0.746951219512195
"153","Decision Tree",0.73780487804878
"154","Decision Tree",0.75
"155","Decision Tree",0.753048780487805
"156","Decision Tree",0.798780487804878
"157","Decision Tree",0.731707317073171
"158","Decision Tree",0.765243902439024
"159","Decision Tree",0.701219512195122
"160","Decision Tree",0.701219512195122
"161","Decision Tree",0.728658536585366
"162","Decision Tree",0.780487804878049
"163","Decision Tree",0.734756097560976
"164","Decision Tree",0.685975609756098
"165","Decision Tree",0.75609756097561
"166","Decision Tree",0.768292682926829
"167","Decision Tree",0.73780487804878
"168","Decision Tree",0.789634146341463
"169","Decision Tree",0.75609756097561
"170","Decision Tree",0.73780487804878
"171","Decision Tree",0.777439024390244
"172","Decision Tree",0.75
"173","Decision Tree",0.789634146341463
"174","Decision Tree",0.759146341463415
"175","Decision Tree",0.716463414634146
"176","Decision Tree",0.75
"177","Decision Tree",0.722560975609756
